2024-08-01 17:53:49,475:INFO:Каталог: FileInfo(name='win32', extension=None, is_directory=True, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Каталог: FileInfo(name='win32com', extension=None, is_directory=True, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Каталог: FileInfo(name='win32comext', extension=None, is_directory=True, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Каталог: FileInfo(name='yarl', extension=None, is_directory=True, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Каталог: FileInfo(name='yarl-1.9.4.dist-info', extension=None, is_directory=True, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Каталог: FileInfo(name='__pycache__', extension=None, is_directory=True, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Файл: FileInfo(name='ckzg.cp312-win_amd64', extension='pyd', is_directory=False, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Файл: FileInfo(name='lru.cp312-win_amd64', extension='pyd', is_directory=False, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Файл: FileInfo(name='pythoncom', extension='py', is_directory=False, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Файл: FileInfo(name='PyWin32', extension='chm', is_directory=False, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Файл: FileInfo(name='pywin32', extension='pth', is_directory=False, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Файл: FileInfo(name='pywin32.version', extension='txt', is_directory=False, parent_directory='site-packages')
2024-08-01 17:53:49,475:INFO:Файл: FileInfo(name='typing_extensions', extension='py', is_directory=False, parent_directory='site-packages')
2024-08-01 17:53:49,479:INFO:Обрабатываем каталог: C:\Users\RGB-5\Documents\sinobi-1\myenv\Lib\site-packages\adodbapi
2024-08-01 17:53:49,479:INFO:Каталог: FileInfo(name='examples', extension=None, is_directory=True, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Каталог: FileInfo(name='test', extension=None, is_directory=True, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Каталог: FileInfo(name='__pycache__', extension=None, is_directory=True, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='adodbapi', extension='py', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='ado_consts', extension='py', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='apibase', extension='py', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='is64bit', extension='py', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='license', extension='txt', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='process_connect_string', extension='py', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='readme', extension='txt', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='remote', extension='py', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='schema_table', extension='py', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='setup', extension='py', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,479:INFO:Файл: FileInfo(name='__init__', extension='py', is_directory=False, parent_directory='adodbapi')
2024-08-01 17:53:49,480:INFO:Обрабатываем каталог: C:\Users\RGB-5\Documents\sinobi-1\myenv\Lib\site-packages\adodbapi\examples
2024-08-01 17:53:49,480:INFO:Каталог: FileInfo(name='__pycache__', extension=None, is_directory=True, parent_directory='examples')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='db_print', extension='py', is_directory=False, parent_directory='examples')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='db_table_names', extension='py', is_directory=False, parent_directory='examples')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='xls_read', extension='py', is_directory=False, parent_directory='examples')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='xls_write', extension='py', is_directory=False, parent_directory='examples')
2024-08-01 17:53:49,480:INFO:Обрабатываем каталог: C:\Users\RGB-5\Documents\sinobi-1\myenv\Lib\site-packages\adodbapi\examples\__pycache__
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='db_print.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='db_table_names.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='xls_read.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='xls_write.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,480:INFO:Обрабатываем каталог: C:\Users\RGB-5\Documents\sinobi-1\myenv\Lib\site-packages\adodbapi\test
2024-08-01 17:53:49,480:INFO:Каталог: FileInfo(name='__pycache__', extension=None, is_directory=True, parent_directory='test')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='adodbapitest', extension='py', is_directory=False, parent_directory='test')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='adodbapitestconfig', extension='py', is_directory=False, parent_directory='test')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='dbapi20', extension='py', is_directory=False, parent_directory='test')
2024-08-01 17:53:49,480:INFO:Файл: FileInfo(name='is64bit', extension='py', is_directory=False, parent_directory='test')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='setuptestframework', extension='py', is_directory=False, parent_directory='test')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='test_adodbapi_dbapi20', extension='py', is_directory=False, parent_directory='test')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='tryconnection', extension='py', is_directory=False, parent_directory='test')
2024-08-01 17:53:49,481:INFO:Обрабатываем каталог: C:\Users\RGB-5\Documents\sinobi-1\myenv\Lib\site-packages\adodbapi\test\__pycache__
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='adodbapitest.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='adodbapitestconfig.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='dbapi20.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='is64bit.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='setuptestframework.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='test_adodbapi_dbapi20.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='tryconnection.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Обрабатываем каталог: C:\Users\RGB-5\Documents\sinobi-1\myenv\Lib\site-packages\adodbapi\__pycache__
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='adodbapi.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='ado_consts.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='apibase.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='is64bit.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='process_connect_string.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,481:INFO:Файл: FileInfo(name='remote.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,482:INFO:Файл: FileInfo(name='schema_table.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
2024-08-01 17:53:49,482:INFO:Файл: FileInfo(name='setup.cpython-312', extension='pyc', is_directory=False, parent_directory='__pycache__')
